20180217_us_00020_11_1,The pull my pants now.
20180217_us_00026_48_0,Can play.
20180217_us_00039_20_11,I don't give a damn about materialistic things.
20180217_us_00047_4_33,You said it's good. And I just want to know what it is.
20180217_us_00052_19_1,I am the first house with the blue rough. Soon as you pass the corner of h and s and s.
20180217_us_00060_63_1,"Oh, because you told me you couldn't have kids. When we got when I got pregnant."
20180217_us_00076_3_0,I in charge you anything for the two pills? I got you first and foremost.
20180218_us_00001_0_16,"I just wanna be involved, but I always feel like i'm taking care of her these days."
20180218_us_00004_7_76,And she told me that you had another girl.
20180218_us_00028_52_2,So we can do supper. And I can bring you that.
20180218_us_00040_4_14,"Okay, should I yeah, I know she."
20180218_us_00048_1_33,Something bigger than I ever did before. And.
20180218_us_00051_0_6,I will message do anymore.
20180218_us_00052_42_0,"Can you have stephen come up and get the bulls for me, please?"
20180218_us_00064_4_3,I'm not going against carrie.
20180218_us_00067_62_1,Very right now. I'll be there in a bit.
20180218_us_00075_15_1,"Uh, what's the time in new york?"
20180219_ap_00019_13_0,Is that you.
20180219_us_00009_7_25,Combat boots.
20180219_us_00018_3_0,"Is into louis vuitton, prada, gucci,"
20180219_us_00019_18_4,I'm so bad about to be home. Oh.
20180219_us_00036_20_1,And since the watch and the two and one after shave balm for men is sold out.
20180219_us_00050_52_0,"I feel like shit like my stomach hurt, my head hurt and I got to go to war."
20180219_us_00064_1_21,B and I are doing good. We are spending time together tonight. We just got back from taking anti into the airport.
20180219_us_00067_10_6,So don't worry. I don't want him.
20180220_us_00001_4_1,Or just go back to staying home with.
20180220_us_00001_8_2,He just got two more years added on to his sense the.
20180220_us_00033_8_6,"Ah, tighter because it's a natural disaster."
20180220_us_00041_7_22,How happy would be a fight with you?
20180220_us_00044_0_69,Air kisses sucks that you're too far away.
20180220_us_00047_15_0,Could you do a cupcake?
20180220_us_00084_6_2,He didn't know what to do with this. So well.
20180216_us_00003_10_9,"Talk to legs, straighten everything out. We'll talk in the morning. Yeah."
20180216_us_00017_8_20,I'm looking at my emails. I didn't mention. They're taking it down and making an apple store out of it.
20180216_us_00019_8_5,They both are very different people now.
20180216_us_00020_16_6,"Yeah, to see if there's a connection. Question mark."
20180216_us_00032_38_1,What is the number to all auto paints?
20180216_us_00051_17_1,"Um, I had to miss work today. Is there a um, oh, I can't. She befriended me."
20180216_us_00055_25_2,What movie is out? And it's going to be a surprise. And I.
20180216_us_00067_41_0,"Murder,"
20180216_us_00076_26_0,"Tony just said that he's not going to bail him out, and he doesn't know anybody that would bond damien out."
20180217_eu_00010_10_1,"Horror,"
20180217_us_00013_0_20,"Yung shue something? I I don't know. Like I said, I couldn't hear what they were saying."
20180217_us_00014_13_1,"I would have been like, ok, bay, i'm cool with that."
20180221_ap_00003_7_3,"Beak,"
